iter	Passed	Remaining
645	735	403
646	736	401
647	737	400
648	739	400
649	741	399
650	742	398
651	743	396
652	745	395
653	746	394
654	747	393
655	748	392
656	749	391
657	750	390
658	752	389
659	753	387
660	754	386
661	755	385
662	756	384
663	757	383
664	758	382
665	759	381
666	761	380
667	762	378
668	763	377
669	764	376
670	765	375
671	766	374
672	768	373
673	770	372
674	771	371
675	772	370
676	774	369
677	775	368
678	776	367
679	777	365
680	778	364
681	779	363
682	781	362
683	782	361
684	783	360
685	784	359
686	785	357
687	786	356
688	787	355
689	789	354
690	791	353
691	792	352
692	794	351
693	795	350
694	796	349
695	798	348
696	799	347
697	800	346
698	801	345
699	803	344
700	804	343
701	805	342
702	806	340
703	808	339
704	809	338
705	810	337
706	811	336
707	813	335
708	814	334
709	815	333
710	817	332
711	818	331
712	820	330
713	822	329
714	823	328
715	825	327
716	826	326
717	827	325
718	829	324
719	830	322
720	831	321
721	834	321
722	835	320
723	836	318
724	837	317
725	838	316
726	840	315
727	841	314
728	842	313
729	843	311
730	844	310
731	845	309
732	847	308
733	848	307
734	849	306
735	850	305
736	851	304
737	853	302
738	854	301
739	855	300
740	856	299
741	857	298
742	859	297
743	860	295
744	861	294
745	862	293
746	863	292
747	864	291
748	865	290
749	866	288
750	868	287
751	869	286
752	870	285
753	871	284
754	872	283
755	874	282
756	875	281
757	876	279
758	877	278
759	878	277
760	880	276
761	880	275
762	882	274
763	883	272
764	884	271
765	885	270
766	886	269
767	888	268
768	890	267
769	891	266
770	892	265
771	893	263
772	894	262
773	895	261
774	897	260
775	898	259
776	899	258
777	900	256
778	901	255
779	903	254
780	904	253
781	905	252
782	906	251
783	907	250
784	909	248
785	910	247
786	911	246
787	912	245
788	913	244
789	914	243
790	915	242
791	917	240
792	918	239
793	919	238
794	921	237
795	922	236
796	923	235
797	924	234
798	925	232
799	927	231
800	928	230
801	929	229
802	930	228
803	931	227
804	933	226
805	934	224
806	935	223
807	936	222
808	937	221
809	938	220
810	940	219
811	941	217
812	942	216
813	943	215
814	945	214
815	946	213
816	948	212
817	949	211
818	950	210
819	951	208
820	952	207
821	954	206
822	955	205
823	956	204
824	957	203
825	958	201
826	960	200
827	961	199
828	962	198
829	963	197
830	964	196
831	966	195
832	967	193
833	968	192
834	970	191
835	971	190
836	973	189
837	974	188
838	976	187
839	978	186
840	979	185
841	980	184
842	982	182
843	983	181
844	984	180
845	985	179
846	987	178
847	988	177
848	989	176
849	991	174
850	992	173
851	993	172
852	994	171
853	995	170
854	997	169
855	998	168
856	999	166
857	1001	165
858	1002	164
859	1003	163
860	1004	162
861	1005	161
862	1006	159
863	1008	158
864	1009	157
865	1010	156
866	1011	155
867	1013	154
868	1014	152
869	1015	151
870	1016	150
871	1017	149
872	1019	148
873	1020	147
874	1021	145
875	1022	144
876	1023	143
877	1024	142
878	1025	141
879	1026	140
880	1027	138
881	1028	137
882	1030	136
883	1031	135
884	1032	134
885	1033	132
886	1034	131
887	1036	130
888	1037	129
889	1038	128
890	1039	127
891	1040	126
892	1042	124
893	1043	123
894	1044	122
895	1045	121
896	1046	120
897	1048	119
898	1049	117
899	1050	116
900	1051	115
901	1052	114
902	1053	113
903	1055	112
904	1056	110
905	1057	109
906	1058	108
907	1059	107
908	1060	106
909	1061	105
910	1063	103
911	1064	102
912	1065	101
913	1066	100
914	1067	99
915	1069	98
916	1070	96
917	1071	95
918	1073	94
919	1074	93
920	1075	92
921	1077	91
922	1078	89
923	1079	88
924	1080	87
925	1082	86
926	1083	85
927	1084	84
928	1085	82
929	1086	81
930	1087	80
931	1088	79
932	1089	78
933	1091	77
934	1092	75
935	1093	74
936	1094	73
937	1095	72
938	1097	71
939	1098	70
940	1099	68
941	1100	67
942	1101	66
943	1102	65
944	1104	64
945	1105	63
946	1107	61
947	1108	60
948	1109	59
949	1111	58
950	1112	57
951	1113	56
952	1114	54
953	1115	53
954	1117	52
955	1118	51
956	1119	50
957	1120	49
958	1121	47
959	1122	46
960	1123	45
961	1125	44
962	1126	43
963	1127	42
964	1129	40
965	1130	39
966	1131	38
967	1132	37
968	1133	36
969	1134	35
970	1135	33
971	1136	32
972	1137	31
973	1138	30
974	1139	29
975	1140	28
976	1141	26
977	1141	25
978	1142	24
979	1143	23
980	1144	22
981	1145	21
982	1146	19
983	1147	18
984	1148	17
985	1149	16
986	1150	15
987	1151	13
988	1151	12
989	1152	11
990	1153	10
991	1154	9
992	1155	8
993	1156	6
994	1157	5
995	1158	4
996	1159	3
997	1160	2
998	1160	1
999	1161	0
